App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
Smart Tracker 6,Works perfectly on my device. No issues at all.,Positive,0.8469,0.4117
Smart Tracker 6,Very frustrating experience using this app.,Negative,-0.7722,0.794
Smart Tracker 6,This app keeps crashing on my device.,Negative,-0.9806,0.4307
Smart Tracker 6,Poor customer support and too expensive.,Negative,-0.655,0.571
Cool Messenger 8,Excellent features and intuitive interface.,Positive,0.5506,0.7731
Cool Messenger 8,Amazing performance and great UI.,Positive,0.903,0.4958
Cool Messenger 8,I'm very satisfied with this app.,Positive,0.5105,0.3255
Cool Messenger 8,"Some features are good, others need work.",Neutral,0.3153,0.4597
Cool Messenger 8,"Very disappointing, too many ads.",Negative,-0.5202,0.8549
Cool Messenger 8,"Waste of money, don't buy it.",Negative,-0.8083,0.4066
Cool Messenger 8,Didn't work as advertised. Uninstalled.,Negative,-0.8703,0.7453
Cool Messenger 8,This app is amazing. I use it every day.,Positive,0.9984,0.4076
Cool Messenger 8,Very frustrating experience using this app.,Negative,-0.608,0.5764
Cool Messenger 8,"Very disappointing, too many ads.",Negative,-0.5337,0.5681
Pro Camera 2,This app keeps crashing on my device.,Negative,-0.6024,0.3948
Pro Camera 2,Excellent features and intuitive interface.,Positive,0.7636,0.9509
Pro Camera 2,Works perfectly on my device. No issues at all.,Positive,0.7318,0.9215
Pro Camera 2,Great app! Love it!,Positive,0.702,0.6221
Pro Camera 2,The app is very helpful and well designed.,Positive,0.725,0.5365
Pro Camera 2,This app is amazing. I use it every day.,Positive,0.5774,0.428
Pro Camera 2,I'm very satisfied with this app.,Positive,0.8116,0.3521
Pro Camera 2,Great app! Love it!,Positive,0.5291,0.9448
Pro Camera 2,Didn't work as advertised. Uninstalled.,Negative,-0.6309,0.5349
Pro Camera 2,"Very disappointing, too many ads.",Negative,-0.6759,0.3129
Perfect Calculator 6,I'm having issues with the latest update.,Negative,-0.8451,0.3601
Perfect Calculator 6,Best app in this category. Highly recommended!,Positive,0.878,0.6166
Perfect Calculator 6,This app is exactly what I was looking for!,Positive,0.7962,0.8849
Perfect Calculator 6,Works perfectly on my device. No issues at all.,Positive,0.6377,0.9774
Perfect Calculator 6,I'm very satisfied with this app.,Positive,0.8067,0.4832
Perfect Calculator 6,This app is exactly what I was looking for!,Positive,0.8321,0.6696
Perfect Calculator 6,"Not bad, but not great either.",Neutral,0.3346,0.5856
Perfect Calculator 6,Best app in this category. Highly recommended!,Positive,0.8938,0.5177
Perfect Calculator 6,I'm very satisfied with this app.,Positive,0.8463,0.7003
Perfect Calculator 6,Works well enough for my needs.,Neutral,0.0272,0.9156
Ultimate Monitor 9,Great app! Love it!,Positive,0.5352,0.4947
Ultimate Monitor 9,This app is amazing. I use it every day.,Positive,0.6413,0.6226
Ultimate Monitor 9,Poor customer support and too expensive.,Negative,-0.618,0.3036
Ultimate Monitor 9,Acceptable performance with some minor issues.,Neutral,0.3873,0.8154
Ultimate Monitor 9,Needs a lot of improvements.,Negative,-0.9337,0.8423
Ultimate Monitor 9,Amazing performance and great UI.,Positive,0.86,0.8277
Ultimate Monitor 9,Excellent features and intuitive interface.,Positive,0.8089,0.839
Ultimate Monitor 9,Excellent features and intuitive interface.,Positive,0.9451,0.4892
Ultimate Monitor 9,I'm having issues with the latest update.,Negative,-0.8428,0.7067
Ultimate Monitor 9,Didn't work as advertised. Uninstalled.,Negative,-0.5677,0.6497
Super Cleaner 3,Excellent features and intuitive interface.,Positive,0.9299,0.6208
Super Cleaner 3,The app is very helpful and well designed.,Positive,0.9525,0.8725
Super Cleaner 3,Excellent features and intuitive interface.,Positive,0.8749,0.3678
Super Cleaner 3,The app is very helpful and well designed.,Positive,0.728,0.5784
Super Cleaner 3,Best app in this category. Highly recommended!,Positive,0.7048,0.8461
Super Cleaner 3,Didn't work as advertised. Uninstalled.,Negative,-0.761,0.63
Super Cleaner 3,Amazing performance and great UI.,Positive,0.751,0.7235
Super Cleaner 3,Amazing performance and great UI.,Positive,0.8787,0.8303
Super Cleaner 3,Needs a lot of improvements.,Negative,-0.7291,0.3918
Super Cleaner 3,Not worth the download. Save your time.,Negative,-0.8675,0.814
Pro Notes 9,Poor customer support and too expensive.,Negative,-0.7408,0.3788
Pro Notes 9,"Not bad, but not great either.",Neutral,-0.1978,0.5846
Pro Notes 9,This app is exactly what I was looking for!,Positive,0.9718,0.9318
Pro Notes 9,Not worth the download. Save your time.,Negative,-0.5729,0.8471
Pro Notes 9,Excellent features and intuitive interface.,Positive,0.8574,0.9564
Pro Notes 9,Acceptable performance with some minor issues.,Neutral,0.3787,0.6071
Pro Notes 9,This app is exactly what I was looking for!,Positive,0.9475,0.9804
Pro Notes 9,"Waste of money, don't buy it.",Negative,-0.7153,0.5402
Pro Notes 9,Great app! Love it!,Positive,0.7212,0.3322
Pro Notes 9,Amazing performance and great UI.,Positive,0.8066,0.9082
Fantastic Player 3,"Very disappointing, too many ads.",Negative,-0.5903,0.9339
Fantastic Player 3,This app is amazing. I use it every day.,Positive,0.8477,0.8778
Fantastic Player 3,I'm very satisfied with this app.,Positive,0.9314,0.414
Fantastic Player 3,Very frustrating experience using this app.,Negative,-0.5428,0.4857
Fantastic Player 3,"It's just what you'd expect, nothing more.",Neutral,-0.084,0.4778
Fantastic Player 3,"It's just what you'd expect, nothing more.",Neutral,0.1763,0.6111
Fantastic Player 3,Works perfectly on my device. No issues at all.,Positive,0.9085,0.5862
Fantastic Player 3,Works perfectly on my device. No issues at all.,Positive,0.5398,0.334
Fantastic Player 3,This app is exactly what I was looking for!,Positive,0.6604,0.9747
Fantastic Player 3,Poor customer support and too expensive.,Negative,-0.9851,0.3502
Easy Planner 7,The app is very slow and buggy.,Negative,-0.9527,0.8309
Easy Planner 7,I'm having issues with the latest update.,Negative,-0.9748,0.3732
Easy Planner 7,The app is very slow and buggy.,Negative,-0.8961,0.6528
Easy Planner 7,The app is very helpful and well designed.,Positive,0.9749,0.6884
Easy Planner 7,The app is very helpful and well designed.,Positive,0.539,0.3743
Easy Planner 7,This app is exactly what I was looking for!,Positive,0.9891,0.411
Easy Planner 7,This app is amazing. I use it every day.,Positive,0.8197,0.3903
Easy Planner 7,Best app in this category. Highly recommended!,Positive,0.6868,0.769
Easy Planner 7,This app is amazing. I use it every day.,Positive,0.9165,0.5083
Easy Planner 7,"Very disappointing, too many ads.",Negative,-0.9243,0.6093
Amazing Editor 9,Poor customer support and too expensive.,Negative,-0.9973,0.768
Amazing Editor 9,Average app with basic functionality.,Neutral,-0.0458,0.9642
Amazing Editor 9,Great app! Love it!,Positive,0.8038,0.5819
Amazing Editor 9,Very useful and easy to use.,Positive,0.5969,0.4502
Amazing Editor 9,Very frustrating experience using this app.,Negative,-0.9058,0.3394
Amazing Editor 9,Excellent features and intuitive interface.,Positive,0.617,0.3348
Amazing Editor 9,I'm very satisfied with this app.,Positive,0.9803,0.3999
Amazing Editor 9,Works perfectly on my device. No issues at all.,Positive,0.8469,0.6425
Amazing Editor 9,Very useful and easy to use.,Positive,0.7275,0.6295
Amazing Editor 9,Needs a lot of improvements.,Negative,-0.7217,0.752
Pro Wallet 2,Excellent features and intuitive interface.,Positive,0.5842,0.8323
Pro Wallet 2,"It's just what you'd expect, nothing more.",Neutral,-0.2423,0.9128
Pro Wallet 2,This app keeps crashing on my device.,Negative,-0.6726,0.5731
Pro Wallet 2,The app is very helpful and well designed.,Positive,0.6866,0.6453
Pro Wallet 2,This app is amazing. I use it every day.,Positive,0.7596,0.5086
Pro Wallet 2,Amazing performance and great UI.,Positive,0.6315,0.4145
Pro Wallet 2,Very useful and easy to use.,Positive,0.8417,0.7787
Pro Wallet 2,Works perfectly on my device. No issues at all.,Positive,0.9936,0.6928
Pro Wallet 2,This app keeps crashing on my device.,Negative,-0.5526,0.3169
Pro Wallet 2,I'm very satisfied with this app.,Positive,0.8249,0.3173
Simple Planner 5,The app is very slow and buggy.,Negative,-0.9692,0.4137
Simple Planner 5,I'm having issues with the latest update.,Negative,-0.6552,0.511
Simple Planner 5,Poor customer support and too expensive.,Negative,-0.7655,0.6531
Simple Planner 5,Best app in this category. Highly recommended!,Positive,0.7478,0.5329
Simple Planner 5,I'm very satisfied with this app.,Positive,0.7121,0.6127
Simple Planner 5,Excellent features and intuitive interface.,Positive,0.6524,0.7815
Simple Planner 5,Needs a lot of improvements.,Negative,-0.9091,0.3601
Simple Planner 5,Not worth the download. Save your time.,Negative,-0.7781,0.4316
Simple Planner 5,"Waste of money, don't buy it.",Negative,-0.7654,0.5574
Simple Planner 5,Very useful and easy to use.,Positive,0.5276,0.9215
Amazing Notes 7,This app keeps crashing on my device.,Negative,-0.7699,0.4354
Amazing Notes 7,Great app! Love it!,Positive,0.9484,0.4475
Amazing Notes 7,Great app! Love it!,Positive,0.5176,0.9383
Amazing Notes 7,This app keeps crashing on my device.,Negative,-0.9329,0.7513
Amazing Notes 7,Very useful and easy to use.,Positive,0.9212,0.8324
Amazing Notes 7,Excellent features and intuitive interface.,Positive,0.5581,0.6755
Amazing Notes 7,Very useful and easy to use.,Positive,0.8385,0.6481
Amazing Notes 7,I'm very satisfied with this app.,Positive,0.8039,0.5833
Amazing Notes 7,Very useful and easy to use.,Positive,0.9981,0.8919
Amazing Notes 7,This app keeps crashing on my device.,Negative,-0.8082,0.8856
Pro Manager 3,I'm having issues with the latest update.,Negative,-0.6509,0.504
Pro Manager 3,Amazing performance and great UI.,Positive,0.7913,0.7892
Pro Manager 3,Not worth the download. Save your time.,Negative,-0.9936,0.9101
Pro Manager 3,This app is amazing. I use it every day.,Positive,0.5271,0.8078
Pro Manager 3,Great app! Love it!,Positive,0.9389,0.8692
Pro Manager 3,Decent app but missing some key features.,Neutral,-0.3125,0.5781
Pro Manager 3,This app is amazing. I use it every day.,Positive,0.6064,0.7225
Pro Manager 3,Great app! Love it!,Positive,0.6064,0.7681
Pro Manager 3,This app is amazing. I use it every day.,Positive,0.9858,0.4934
Pro Manager 3,Didn't work as advertised. Uninstalled.,Negative,-0.5268,0.5905
Premium Assistant 4,This app is exactly what I was looking for!,Positive,0.7807,0.4302
Premium Assistant 4,I'm very satisfied with this app.,Positive,0.9808,0.8387
Premium Assistant 4,Best app in this category. Highly recommended!,Positive,0.7746,0.8239
Premium Assistant 4,Needs a lot of improvements.,Negative,-0.6394,0.7605
Premium Assistant 4,Average app with basic functionality.,Neutral,-0.1161,0.7289
Premium Assistant 4,The app is very helpful and well designed.,Positive,0.923,0.5993
Premium Assistant 4,Excellent features and intuitive interface.,Positive,0.5596,0.4572
Premium Assistant 4,Excellent features and intuitive interface.,Positive,0.8945,0.5457
Premium Assistant 4,Amazing performance and great UI.,Positive,0.6462,0.9124
Premium Assistant 4,"Waste of money, don't buy it.",Negative,-0.5054,0.4168
Amazing Manager 4,Amazing performance and great UI.,Positive,0.6263,0.8808
Amazing Manager 4,Needs a lot of improvements.,Negative,-0.7137,0.6504
Amazing Manager 4,This app keeps crashing on my device.,Negative,-0.6847,0.6147
Amazing Manager 4,Best app in this category. Highly recommended!,Positive,0.7643,0.8674
Amazing Manager 4,Needs a lot of improvements.,Negative,-0.6846,0.5447
Amazing Manager 4,The app is very helpful and well designed.,Positive,0.9161,0.4924
Amazing Manager 4,"Very disappointing, too many ads.",Negative,-0.8164,0.6796
Amazing Manager 4,This app is exactly what I was looking for!,Positive,0.649,0.5885
Amazing Manager 4,Best app in this category. Highly recommended!,Positive,0.8671,0.5598
Amazing Manager 4,Very frustrating experience using this app.,Negative,-0.9399,0.6742
Amazing Camera 6,Not worth the download. Save your time.,Negative,-0.889,0.8772
Amazing Camera 6,I'm having issues with the latest update.,Negative,-0.528,0.3335
Amazing Camera 6,This app keeps crashing on my device.,Negative,-0.9412,0.9932
Amazing Camera 6,Very useful and easy to use.,Positive,0.6157,0.8144
Amazing Camera 6,Very useful and easy to use.,Positive,0.5883,0.7062
Amazing Camera 6,Average app with basic functionality.,Neutral,0.2725,0.8933
Amazing Camera 6,I'm having issues with the latest update.,Negative,-0.5971,0.7218
Amazing Camera 6,Amazing performance and great UI.,Positive,0.9203,0.631
Amazing Camera 6,Great app! Love it!,Positive,0.9631,0.9731
Amazing Camera 6,The app is very helpful and well designed.,Positive,0.7829,0.4101
Simple Editor 6,Very frustrating experience using this app.,Negative,-0.6595,0.561
Simple Editor 6,This app is amazing. I use it every day.,Positive,0.9506,0.8255
Simple Editor 6,Great app! Love it!,Positive,0.7637,0.9205
Simple Editor 6,Needs a lot of improvements.,Negative,-0.9781,0.5286
Simple Editor 6,Poor customer support and too expensive.,Negative,-0.7215,0.9258
Simple Editor 6,Acceptable performance with some minor issues.,Neutral,-0.0494,0.4839
Simple Editor 6,Great app! Love it!,Positive,0.7573,0.4401
Simple Editor 6,This app is amazing. I use it every day.,Positive,0.8895,0.314
Simple Editor 6,Not worth the download. Save your time.,Negative,-0.6238,0.8273
Simple Editor 6,Very frustrating experience using this app.,Negative,-0.6789,0.3269
Ultimate Analyzer 2,The app is very slow and buggy.,Negative,-0.8505,0.5216
Ultimate Analyzer 2,Needs a lot of improvements.,Negative,-0.6786,0.785
Ultimate Analyzer 2,Not worth the download. Save your time.,Negative,-0.7361,0.6623
Ultimate Analyzer 2,Great app! Love it!,Positive,0.9823,0.3515
Ultimate Analyzer 2,Very useful and easy to use.,Positive,0.5862,0.7057
Ultimate Analyzer 2,Very useful and easy to use.,Positive,0.5468,0.8377
Ultimate Analyzer 2,This app keeps crashing on my device.,Negative,-0.6896,0.8033
Ultimate Analyzer 2,Amazing performance and great UI.,Positive,0.5708,0.9177
Ultimate Analyzer 2,Great app! Love it!,Positive,0.8391,0.5901
Ultimate Analyzer 2,"Waste of money, don't buy it.",Negative,-0.8677,0.7979
Simple Editor 8,I'm very satisfied with this app.,Positive,0.6776,0.3344
Simple Editor 8,Works perfectly on my device. No issues at all.,Positive,0.881,0.6762
Simple Editor 8,The app is very slow and buggy.,Negative,-0.8367,0.606
Simple Editor 8,This app is exactly what I was looking for!,Positive,0.5362,0.9679
Simple Editor 8,This app is exactly what I was looking for!,Positive,0.5711,0.7478
Simple Editor 8,Very useful and easy to use.,Positive,0.5887,0.3767
Simple Editor 8,This app is amazing. I use it every day.,Positive,0.5699,0.3673
Simple Editor 8,I'm very satisfied with this app.,Positive,0.7313,0.8645
Simple Editor 8,The app is very helpful and well designed.,Positive,0.6926,0.5391
Simple Editor 8,The app is very slow and buggy.,Negative,-0.5427,0.4461
Premium Manager 5,Not worth the download. Save your time.,Negative,-0.6981,0.4148
Premium Manager 5,Not worth the download. Save your time.,Negative,-0.5051,0.5642
Premium Manager 5,Best app in this category. Highly recommended!,Positive,0.8708,0.5118
Premium Manager 5,Very frustrating experience using this app.,Negative,-0.7771,0.8707
Premium Manager 5,I'm having issues with the latest update.,Negative,-0.8764,0.8239
Premium Manager 5,This app is amazing. I use it every day.,Positive,0.9459,0.4375
Premium Manager 5,Not worth the download. Save your time.,Negative,-0.7114,0.9554
Premium Manager 5,Poor customer support and too expensive.,Negative,-0.6876,0.4978
Premium Manager 5,Amazing performance and great UI.,Positive,0.824,0.5371
Premium Manager 5,Works perfectly on my device. No issues at all.,Positive,0.6245,0.5271
Perfect Recorder 2,I'm very satisfied with this app.,Positive,0.8748,0.7414
Perfect Recorder 2,Didn't work as advertised. Uninstalled.,Negative,-0.7722,0.3216
Perfect Recorder 2,Not worth the download. Save your time.,Negative,-0.8532,0.5797
Perfect Recorder 2,The app is very slow and buggy.,Negative,-0.7093,0.6843
Perfect Recorder 2,Best app in this category. Highly recommended!,Positive,0.8018,0.9538
Perfect Recorder 2,Works perfectly on my device. No issues at all.,Positive,0.9279,0.7766
Perfect Recorder 2,Great app! Love it!,Positive,0.5189,0.3861
Perfect Recorder 2,"Not bad, but not great either.",Neutral,-0.3144,0.8036
Perfect Recorder 2,Needs a lot of improvements.,Negative,-0.8804,0.5906
Perfect Recorder 2,"Very disappointing, too many ads.",Negative,-0.7842,0.4609
HD Recorder 9,This app is amazing. I use it every day.,Positive,0.9703,0.9342
HD Recorder 9,This app is amazing. I use it every day.,Positive,0.6906,0.5883
HD Recorder 9,The app is very slow and buggy.,Negative,-0.5726,0.9507
HD Recorder 9,Amazing performance and great UI.,Positive,0.6962,0.5837
HD Recorder 9,Best app in this category. Highly recommended!,Positive,0.5179,0.6698
HD Recorder 9,Needs a lot of improvements.,Negative,-0.6972,0.7843
HD Recorder 9,Amazing performance and great UI.,Positive,0.7842,0.6077
HD Recorder 9,This app is amazing. I use it every day.,Positive,0.8401,0.8897
HD Recorder 9,Works perfectly on my device. No issues at all.,Positive,0.747,0.3829
HD Recorder 9,This app is exactly what I was looking for!,Positive,0.849,0.8532
Ultimate Converter 1,Excellent features and intuitive interface.,Positive,0.7106,0.5874
Ultimate Converter 1,Amazing performance and great UI.,Positive,0.941,0.5866
Ultimate Converter 1,This app is exactly what I was looking for!,Positive,0.5046,0.7391
Ultimate Converter 1,This app is exactly what I was looking for!,Positive,0.715,0.9891
Ultimate Converter 1,This app is amazing. I use it every day.,Positive,0.9196,0.3224
Ultimate Converter 1,"Some features are good, others need work.",Neutral,0.0887,0.9099
Ultimate Converter 1,Best app in this category. Highly recommended!,Positive,0.6121,0.572
Ultimate Converter 1,This app is exactly what I was looking for!,Positive,0.7286,0.6847
Ultimate Converter 1,I'm having issues with the latest update.,Negative,-0.6341,0.5687
Ultimate Converter 1,"Not bad, but not great either.",Neutral,-0.0799,0.4053
Quick Browser 9,I'm very satisfied with this app.,Positive,0.5376,0.7954
Quick Browser 9,I'm very satisfied with this app.,Positive,0.853,0.6433
Quick Browser 9,Best app in this category. Highly recommended!,Positive,0.704,0.5272
Quick Browser 9,Poor customer support and too expensive.,Negative,-0.5984,0.3309
Quick Browser 9,Works well enough for my needs.,Neutral,-0.1662,0.8678
Quick Browser 9,The app is very helpful and well designed.,Positive,0.7065,0.6762
Quick Browser 9,Great app! Love it!,Positive,0.8045,0.8383
Quick Browser 9,Best app in this category. Highly recommended!,Positive,0.554,0.6054
Quick Browser 9,It's alright for occasional use.,Neutral,-0.3363,0.9583
Quick Browser 9,Great app! Love it!,Positive,0.5529,0.74
Smart Calculator 8,Best app in this category. Highly recommended!,Positive,0.9109,0.8385
Smart Calculator 8,The app is very helpful and well designed.,Positive,0.5187,0.6116
Smart Calculator 8,Works perfectly on my device. No issues at all.,Positive,0.9444,0.3338
Smart Calculator 8,Works perfectly on my device. No issues at all.,Positive,0.9506,0.4147
Smart Calculator 8,This app is exactly what I was looking for!,Positive,0.966,0.4952
Smart Calculator 8,Decent app but missing some key features.,Neutral,-0.3368,0.7853
Smart Calculator 8,I'm having issues with the latest update.,Negative,-0.7351,0.7685
Smart Calculator 8,Didn't work as advertised. Uninstalled.,Negative,-0.6183,0.7105
Smart Calculator 8,I'm very satisfied with this app.,Positive,0.7342,0.7188
Smart Calculator 8,This app is exactly what I was looking for!,Positive,0.9679,0.4638
Smart Scanner 3,Excellent features and intuitive interface.,Positive,0.5808,0.9341
Smart Scanner 3,Great app! Love it!,Positive,0.9609,0.8302
Smart Scanner 3,I'm having issues with the latest update.,Negative,-0.8998,0.4477
Smart Scanner 3,Not worth the download. Save your time.,Negative,-0.8451,0.638
Smart Scanner 3,Very useful and easy to use.,Positive,0.6488,0.7618
Smart Scanner 3,Works perfectly on my device. No issues at all.,Positive,0.9566,0.726
Smart Scanner 3,This app is amazing. I use it every day.,Positive,0.6366,0.4467
Smart Scanner 3,Amazing performance and great UI.,Positive,0.8527,0.8148
Smart Scanner 3,Great app! Love it!,Positive,0.9613,0.6979
Smart Scanner 3,Best app in this category. Highly recommended!,Positive,0.6287,0.7855
Super Manager 3,Amazing performance and great UI.,Positive,0.8364,0.8901
Super Manager 3,Works perfectly on my device. No issues at all.,Positive,0.7008,0.5103
Super Manager 3,I'm having issues with the latest update.,Negative,-0.7718,0.9259
Super Manager 3,Very useful and easy to use.,Positive,0.6682,0.7124
Super Manager 3,Very useful and easy to use.,Positive,0.703,0.8784
Super Manager 3,The app is very helpful and well designed.,Positive,0.9108,0.3416
Super Manager 3,Needs a lot of improvements.,Negative,-0.8772,0.3765
Super Manager 3,Needs a lot of improvements.,Negative,-0.8643,0.8986
Super Manager 3,I'm very satisfied with this app.,Positive,0.9899,0.4878
Super Manager 3,Very useful and easy to use.,Positive,0.7255,0.3705
Fantastic Calculator 5,Needs a lot of improvements.,Negative,-0.7642,0.7977
Fantastic Calculator 5,Very useful and easy to use.,Positive,0.5878,0.9722
Fantastic Calculator 5,This app keeps crashing on my device.,Negative,-0.8208,0.4282
Fantastic Calculator 5,I'm having issues with the latest update.,Negative,-0.7241,0.7422
Fantastic Calculator 5,Excellent features and intuitive interface.,Positive,0.9828,0.3104
Fantastic Calculator 5,Great app! Love it!,Positive,0.9101,0.4465
Fantastic Calculator 5,This app is amazing. I use it every day.,Positive,0.8577,0.3484
Fantastic Calculator 5,Amazing performance and great UI.,Positive,0.625,0.7267
Fantastic Calculator 5,This app is exactly what I was looking for!,Positive,0.743,0.5196
Fantastic Calculator 5,Amazing performance and great UI.,Positive,0.8694,0.9251
Simple Browser 9,Very useful and easy to use.,Positive,0.9753,0.8108
Simple Browser 9,Best app in this category. Highly recommended!,Positive,0.6199,0.5608
Simple Browser 9,Works perfectly on my device. No issues at all.,Positive,0.5672,0.5241
Simple Browser 9,"It's just what you'd expect, nothing more.",Neutral,-0.2472,0.6085
Simple Browser 9,This app is exactly what I was looking for!,Positive,0.9941,0.5722
Simple Browser 9,Best app in this category. Highly recommended!,Positive,0.9553,0.9736
Simple Browser 9,Best app in this category. Highly recommended!,Positive,0.8712,0.8393
Simple Browser 9,Works perfectly on my device. No issues at all.,Positive,0.9869,0.7644
Simple Browser 9,Very useful and easy to use.,Positive,0.8702,0.5189
Simple Browser 9,I'm having issues with the latest update.,Negative,-0.7351,0.503
Pro Browser 9,Poor customer support and too expensive.,Negative,-0.6725,0.4983
Pro Browser 9,This app is exactly what I was looking for!,Positive,0.9194,0.3226
Pro Browser 9,This app is amazing. I use it every day.,Positive,0.7806,0.6327
Pro Browser 9,I'm having issues with the latest update.,Negative,-0.9682,0.5774
Pro Browser 9,It's alright for occasional use.,Neutral,-0.0767,0.9128
Pro Browser 9,Very useful and easy to use.,Positive,0.5181,0.6858
Pro Browser 9,I'm having issues with the latest update.,Negative,-0.8481,0.9447
Pro Browser 9,Amazing performance and great UI.,Positive,0.6208,0.7705
Pro Browser 9,The app is very helpful and well designed.,Positive,0.8533,0.6497
Pro Browser 9,I'm having issues with the latest update.,Negative,-0.7989,0.8483
Smart Monitor 2,Average app with basic functionality.,Neutral,-0.0069,0.8054
Smart Monitor 2,Decent app but missing some key features.,Neutral,-0.3844,0.864
Smart Monitor 2,Great app! Love it!,Positive,0.908,0.8618
Smart Monitor 2,I'm very satisfied with this app.,Positive,0.8297,0.9368
Smart Monitor 2,The app is okay but could be better.,Neutral,0.1844,0.3282
Smart Monitor 2,I'm very satisfied with this app.,Positive,0.6474,0.3013
Smart Monitor 2,This app is exactly what I was looking for!,Positive,0.6444,0.4045
Smart Monitor 2,This app is exactly what I was looking for!,Positive,0.6652,0.3138
Smart Monitor 2,This app is amazing. I use it every day.,Positive,0.6675,0.4451
Smart Monitor 2,The app is very helpful and well designed.,Positive,0.8387,0.5027
Super Translator 7,Works perfectly on my device. No issues at all.,Positive,0.5014,0.9516
Super Translator 7,This app is exactly what I was looking for!,Positive,0.832,0.4786
Super Translator 7,Amazing performance and great UI.,Positive,0.6527,0.4104
Super Translator 7,The app is very helpful and well designed.,Positive,0.9633,0.9287
Super Translator 7,"Waste of money, don't buy it.",Negative,-0.9469,0.7821
Super Translator 7,"Not bad, but not great either.",Neutral,0.1867,0.9099
Super Translator 7,I'm very satisfied with this app.,Positive,0.6246,0.5393
Super Translator 7,Amazing performance and great UI.,Positive,0.6798,0.3881
Super Translator 7,Works perfectly on my device. No issues at all.,Positive,0.5023,0.5193
Super Translator 7,Excellent features and intuitive interface.,Positive,0.8514,0.8549
Easy Player 3,"Very disappointing, too many ads.",Negative,-0.9973,0.5296
Easy Player 3,"Very disappointing, too many ads.",Negative,-0.7941,0.5331
Easy Player 3,The app is very slow and buggy.,Negative,-0.6661,0.3284
Easy Player 3,I'm very satisfied with this app.,Positive,0.9607,0.985
